train test method run dataset classifier noPoints
0.968684759916493 0.980392156862745 peakPageRank 13 breast-cancer-wisconsin svmLinear 11
0.974947807933194 0.975490196078431 peakPageRank 24 breast-cancer-wisconsin svmLinear 9
0.97286012526096 0.965686274509804 peakPageRank 29 breast-cancer-wisconsin svmLinear 10
0.968684759916493 0.980392156862745 peakStatus 5 breast-cancer-wisconsin svmLinear 17
0.974947807933194 0.975490196078431 peakPageRank 12 breast-cancer-wisconsin svmLinear 14
0.97286012526096 0.965686274509804 peakStatus 1 breast-cancer-wisconsin svmLinear 17
0.970772442588727 0.980392156862745 peakPageRank 9 breast-cancer-wisconsin svmLinear 14
0.968684759916493 0.980392156862745 peakPageRank 25 breast-cancer-wisconsin svmLinear 11
0.97286012526096 0.970588235294118 peakPageRank 17 breast-cancer-wisconsin svmLinear 7
0.974947807933194 0.965686274509804 peakPageRank 6 breast-cancer-wisconsin svmLinear 10
0.97286012526096 0.985294117647059 peakPageRank 3 breast-cancer-wisconsin svmLinear 11
0.970772442588727 0.970588235294118 peakPageRank 15 breast-cancer-wisconsin svmLinear 7
0.979123173277662 0.955882352941177 peakPageRank 4 breast-cancer-wisconsin svmLinear 11
0.974947807933194 0.96078431372549 peakStatus 7 breast-cancer-wisconsin svmLinear 14
0.974947807933194 0.965686274509804 peakPageRank 10 breast-cancer-wisconsin svmLinear 6
0.964509394572025 0.980392156862745 peakPageRank 26 breast-cancer-wisconsin svmLinear 5
0.970772442588727 0.975490196078431 peakPageRank 18 breast-cancer-wisconsin svmLinear 6
0.977035490605428 0.946078431372549 peakPageRank 27 breast-cancer-wisconsin svmLinear 9
0.968684759916493 0.975490196078431 peakPageRank 20 breast-cancer-wisconsin svmLinear 9
0.97286012526096 0.970588235294118 peakPageRank 21 breast-cancer-wisconsin svmLinear 10
0.979123173277662 0.965686274509804 peakPageRank 2 breast-cancer-wisconsin svmLinear 9
0.977035490605428 0.965686274509804 peakPageRank 19 breast-cancer-wisconsin svmLinear 12
0.974947807933194 0.955882352941177 peakPageRank 30 breast-cancer-wisconsin svmLinear 8
0.962421711899791 0.985294117647059 peakPageRank 11 breast-cancer-wisconsin svmLinear 11
0.970772442588727 0.975490196078431 peakPageRank 28 breast-cancer-wisconsin svmLinear 11
0.974947807933194 0.975490196078431 peakStatus 23 breast-cancer-wisconsin svmLinear 25
0.968684759916493 0.980392156862745 peakStatus 13 breast-cancer-wisconsin svmLinear 19
0.981210855949896 0.955882352941177 peakStatus 22 breast-cancer-wisconsin svmLinear 19
0.985386221294363 0.955882352941177 peakPN 14 breast-cancer-wisconsin svmLinear 50
0.987473903966597 0.936274509803922 peakStatus 16 breast-cancer-wisconsin svmLinear 12
0.97286012526096 0.965686274509804 peakStatus 15 breast-cancer-wisconsin svmLinear 20
0.966597077244259 0.980392156862745 peakPN 8 breast-cancer-wisconsin svmLinear 56
0.977035490605428 0.965686274509804 peakStatus 29 breast-cancer-wisconsin svmLinear 15
0.974947807933194 0.965686274509804 peakStatus 17 breast-cancer-wisconsin svmLinear 18
0.97286012526096 0.980392156862745 peakPN 5 breast-cancer-wisconsin svmLinear 49
0.97286012526096 0.965686274509804 peakStatus 24 breast-cancer-wisconsin svmLinear 16
0.97286012526096 0.965686274509804 peakPN 1 breast-cancer-wisconsin svmLinear 57
0.979123173277662 0.955882352941177 peakStatus 27 breast-cancer-wisconsin svmLinear 15
0.981210855949896 0.955882352941177 peakStatus 4 breast-cancer-wisconsin svmLinear 21
0.97286012526096 0.96078431372549 peakStatus 19 breast-cancer-wisconsin svmLinear 20
0.981210855949896 0.970588235294118 peakPN 7 breast-cancer-wisconsin svmLinear 55
0.974947807933194 0.965686274509804 peakStatus 12 breast-cancer-wisconsin svmLinear 20
0.968684759916493 0.985294117647059 peakStatus 3 breast-cancer-wisconsin svmLinear 15
0.97286012526096 0.975490196078431 peakStatus 25 breast-cancer-wisconsin svmLinear 12
0.966597077244259 0.980392156862745 peakStatus 9 breast-cancer-wisconsin svmLinear 22
0.979123173277662 0.970588235294118 peakStatus 21 breast-cancer-wisconsin svmLinear 17
0.977035490605428 0.970588235294118 peakStatus 6 breast-cancer-wisconsin svmLinear 23
0.981210855949896 0.970588235294118 peakStatus 10 breast-cancer-wisconsin svmLinear 16
0.979123173277662 0.96078431372549 peakStatus 30 breast-cancer-wisconsin svmLinear 17
0.977035490605428 0.975490196078431 peakStatus 26 breast-cancer-wisconsin svmLinear 19
0.966597077244259 0.980392156862745 peakStatus 18 breast-cancer-wisconsin svmLinear 19
0.968684759916493 0.980392156862745 peakStatus 20 breast-cancer-wisconsin svmLinear 19
0.979123173277662 0.955882352941177 peakStatus 2 breast-cancer-wisconsin svmLinear 15
0.964509394572025 0.975490196078431 peakStatus 11 breast-cancer-wisconsin svmLinear 12
0.974947807933194 0.975490196078431 peakPN 23 breast-cancer-wisconsin svmLinear 51
