train test method run dataset classifier noPoints
0.984126984126984 0.942307692307692 peakDegree 19 wine rpart 8
0.968253968253968 0.980769230769231 peakDegree 9 wine rpart 6
0.984126984126984 0.923076923076923 peakDegree 26 wine rpart 7
1 1 peakDegree 4 wine rf 10
0.968253968253968 0.961538461538462 peakDegree 21 wine rpart 7
1 0.961538461538462 peakDegree 7 wine rf 11
0.968253968253968 0.980769230769231 peakDegree 1 wine rpart 6
0.928571428571429 0.923076923076923 peakDegree 22 wine rpart 8
0.984126984126984 0.942307692307692 peakDegree 25 wine rpart 8
0.968253968253968 0.980769230769231 peakDegree 13 wine rpart 10
0.984126984126984 0.903846153846154 peakDegree 28 wine rpart 9
0.968253968253968 1 peakDegree 4 wine rpart 10
0.992063492063492 0.884615384615385 peakDegree 24 wine rpart 10
0.976190476190476 0.942307692307692 peakDegree 7 wine rpart 11
0.968684759916493 0.980392156862745 peakDegree 5 breast-cancer-wisconsin knn 10
1 0.96078431372549 peakDegree 5 breast-cancer-wisconsin svmRadial 10
0.97286012526096 0.985294117647059 peakDegree 7 breast-cancer-wisconsin knn 10
0.977035490605428 0.965686274509804 peakDegree 25 breast-cancer-wisconsin knn 7
0.97286012526096 0.965686274509804 peakDegree 13 breast-cancer-wisconsin knn 9
0.977035490605428 0.970588235294118 peakDegree 1 breast-cancer-wisconsin knn 9
1 0.970588235294118 peakDegree 5 breast-cancer-wisconsin rf 10
0.974947807933194 0.936274509803922 peakDegree 5 breast-cancer-wisconsin rpart 10
0.974947807933194 0.965686274509804 peakDegree 20 breast-cancer-wisconsin knn 8
0.993736951983299 0.946078431372549 peakDegree 25 breast-cancer-wisconsin svmRadial 7
0.989561586638831 0.975490196078431 peakDegree 7 breast-cancer-wisconsin svmRadial 10
0.993736951983299 0.96078431372549 peakDegree 13 breast-cancer-wisconsin svmRadial 9
0.993736951983299 0.96078431372549 peakDegree 1 breast-cancer-wisconsin svmRadial 9
1 0.96078431372549 peakDegree 20 breast-cancer-wisconsin svmRadial 8
1 0.965686274509804 peakDegree 25 breast-cancer-wisconsin rf 7
1 0.975490196078431 peakDegree 1 breast-cancer-wisconsin rf 9
0.979123173277662 0.946078431372549 peakDegree 25 breast-cancer-wisconsin rpart 7
1 0.975490196078431 peakDegree 13 breast-cancer-wisconsin rf 9
1 0.980392156862745 peakDegree 7 breast-cancer-wisconsin rf 10
